#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000914desc;Our spies and intercepted communication indicate that the Germans are investing heavily into naval technology!;;;;;;;;;;X;
1000914a;We must guard our beaches!;;;;;;;;;;X;
1000914b;No need;;;;;;;;;;X;
1000915name;The Germans are preparing Operation Sealion!;;;;;;;;;;;
1000915desc;Our spies and intercepted communication indicate that the Germans are investing heavily into naval technology!;;;;;;;;;;X;
1000915a;We must guard our beaches!;;;;;;;;;;X;
1000915b;No need;;;;;;;;;;X;
1000916name;The Germans are preparing Operation Sealion!;;;;;;;;;;;
1000916desc;Our spies and intercepted communication indicate that the Germans are investing heavily into naval technology!;;;;;;;;;;X;
1000916a;We must guard our beaches!;;;;;;;;;;X;
1000916b;No need;;;;;;;;;;X;
1000917name;The Germans are preparing an airborne assault!;;;;;;;;;;;
1000917desc;Our spies and intercepted communication indicate that the Germans are investing heavily into airborne divisions!;;;;;;;;;;X;
1000917a;We must guard our open fields!;;;;;;;;;;X;
1000917b;No need;;;;;;;;;;X;
1000918name;The Germans are invading the British Isles!;;;;;;;;;;;
1000918desc;The Germans have established a beachhead on the Bristish Isles!;;;;;;;;;;X;
1000918a;We will fight on the beaches, the landing grounds, streets and hills! Britain, rise!;;;;;;;;;;X;
1000918b;No need;;;;;;;;;;X;
1000919name;Germany is invading the United Kingdom!;;;;;;;;;;;
1000919desc;The Germans are currently invading the United Kingdom. It may be time to break our policy of isolationism, as we did in the First World War. If Britain falls, we will lose a critical trading partner and won't be paid back for our lend-lease equipment! We must act!;;;;;;;;;;X;
1000919a;We must prepare for what comes across the Atlantic.;;;;;;;;;;X;
1000919b;We are safe on our continent.;;;;;;;;;;X;
1000920name;Concentrate the Royal Navy on home defense;;;;;;;;;;;
1000920desc;We have no choice but to focus our navy on home defense - Germany has invested too heavily into a naval invasion force.;;;;;;;;;;X;
1000920a;Set course for Britain.;;;;;;;;;;X;
1000921name;Petition the United Kingdom for peace;;;;;;;;;;;
1000921desc;Throughout the momentous events leading up to and during the Second World War, Adolf Hitler made it clear that he did not desire war with the British Empire. For many years, he pursued a dream of mutual cooperation and an ultimate goal of an alliance between the two powers. These hopes were decisively crushed in 1939 when the United Kingdom declared war upon Germany, obstensibly in the defense of Polish sovereignty. Hitler's desire to work alongside the United Kingdom demonstrated Germany's inability to understand British geopolitical and economic goals, which were aligned towards preventing any one single entity from dominating continental Europe. These desires ran completely against Germany's vision in both the first and second World Wars, pitting the two states against one another much to the frustration of German statesmen in both cases.\n \nMultiple attempts at reaching a peace agreement with the United Kingdom were attempted, including a claim that Rudolf Hess offered the withdrawal of Germany from western Europe in exchange for a free hand against the USSR, which was refused. The authenticity of this claim is still in dispute today, but it is well known that Hitler attempted multiple peace negotiations from 1939 to 1941, all of which were unsuccessful. The larger-than-life personalities of Winston Churchill and Adolf Hitler symbolized this fateful match between the two European powers.\n \nNow that the USSR has been crushed, the United Kingdom yet again stands alone against the Third Reich. We can send a foreign dispatch in an another attempt to open up discussions and end this pointless war.;;;;;;;;;;X;
1000921a;Let the British know that we are willing to talk.;;;;;;;;;;X;
1000921b;We have already tried negotiating. Britain will fall.;;;;;;;;;;X;
1000922name;The United Kingdom refuses our offer;;;;;;;;;;;
1000922desc;"Once again, the British have refused to even consider the possibility of negotiating a diplomatic settlement to the war. The obstinate and stubborn attitude of Winston Churchill has spit in the face of our good intentions. Even though the British Empire and her Commonwealth stand alone against us, they still refuse to see reason and come to terms with the Reich.\n \nDespite all of Europe being under our control, they still persist in their resistance to the New Order. There is no other reasonable explanation other than a misguided faith that the United States will be able to come to their rescue.\n \nIn reality, there is an argument to be made that the British were not in a position to ever accept peace due to the German-dominated ""loaded gun"" of the Atlantic Coast after the Fall of France, which would forever be pointed directly at Britain. Hitler had shown that he could not be trusted in diplomatic dealings, and many British feared it would only be a matter of time until his continental hegemony and aggressive ideology eventually turned towards Britain years after a peace was concluded. This was yet another example of the existential nature surrounding the conflict of the Second World War, and that only the complete domination of one faction would be able to lead the world into a new order.\n \n""After making one proposal after another to the British on the reorganization of Europe, I now find myself forced against my will to fight this war against Britain..."" - Adolf Hitler";;;;;;;;;;X;
1000922a;Churchill has doomed his nation. We will show no mercy.;;;;;;;;;;X;
1000923name;Defense of the British Isles;;;;;;;;;;;
1000923desc;After the Fall of France in 1940, the possibility of a German invasion of the British Isles became a serious consideration by the British military. The planned defense of the home islands was quite extensive, showing that the British were very serious about their concern of Operation Sealion actually taking place.\n \nAside from the direct involvement of the British Army, RAF and Royal Navy in this planned defense, the Local Defense Volunteers (LDV - later known as the Home Guard) group was created. This volunteer force numbered 1.5 million men by the end of June 1940 and were to be deployed in the defense of Britain if an invasion took place. An extensive system of field fortifications was also constructed, most notably coastal fortifications supplemented with barbed wire, minefields, planned flooding, tank traps and other deterrents to ensure that German armor would be unable to penetrate into England.\n \nBeyond these considerable defenses, the British were prepared to use even more extensive strategies to stop an invasion. Planned destruction of bridges, slash and burn tactics of both food and fuel, full mobilization of the civilian population, insurgency networks and even poison gas attacks were to be used in the defense of the home islands.\n \nWith the fall of the USSR, the British are redoubling their efforts on these defensive measures.;;;;;;;;;;X;
